naam,color
aa,"(0.7843137254901961, 0.7843137254901961, 0.7843137254901961)"
aaesk#,"(0.7843137254901961, 0.7843137254901961, 0.7843137254901961)"
aaeso,"(0.7843137254901961, 0.7843137254901961, 0.7843137254901961)"
aaesv#,"(0.7843137254901961, 0.7843137254901961, 0.7843137254901961)"
aaesz#,"(0.7843137254901961, 0.7843137254901961, 0.7843137254901961)"
aaomk#,"(0.7843137254901961, 0.7843137254901961, 0.7843137254901961)"
aaomo,"(0.7843137254901961, 0.7843137254901961, 0.7843137254901961)"
aaomv#,"(0.7843137254901961, 0.7843137254901961, 0.7843137254901961)"
aaomz#,"(0.7843137254901961, 0.7843137254901961, 0.7843137254901961)"
aaopk#,"(0.7843137254901961, 0.7843137254901961, 0.7843137254901961)"
aaopo,"(0.7843137254901961, 0.7843137254901961, 0.7843137254901961)"
aaopv#,"(0.7843137254901961, 0.7843137254901961, 0.7843137254901961)"
aaopz#,"(0.7843137254901961, 0.7843137254901961, 0.7843137254901961)"
ak,"(0.596078431372549, 0.9058823529411765, 0.803921568627451)"
akc,"(0.596078431372549, 0.9058823529411765, 0.803921568627451)"
ap,"(0.8549019607843137, 0.6470588235294118, 0.12549019607843137)"
apz1,"(0.8549019607843137, 0.6470588235294118, 0.12549019607843137)"
b,"(0.5490196078431373, 0.3607843137254902, 0.21176470588235294)"
be,"(0.7843137254901961, 0.7843137254901961, 1.0)"
bek1,"(0.6666666666666666, 0.6078431372549019, 0.7058823529411765)"
bek2,"(0.7058823529411765, 0.6666666666666666, 0.803921568627451)"
beo,"(0.5647058823529412, 0.5647058823529412, 0.5647058823529412)"
berok1,"(0.6274509803921569, 0.5490196078431373, 0.6078431372549019)"
bez1,"(0.7843137254901961, 0.7843137254901961, 1.0)"
bez1+2,"(0.7843137254901961, 0.7843137254901961, 1.0)"
bez1+2+3,"(0.7843137254901961, 0.7843137254901961, 1.0)"
bez2,"(0.7843137254901961, 0.7843137254901961, 1.0)"
bez2+3,"(0.7843137254901961, 0.7843137254901961, 1.0)"
bez3,"(0.7843137254901961, 0.7843137254901961, 1.0)"
bezundefined,"(0.7843137254901961, 0.7843137254901961, 1.0)"
br,"(0.4235294117647059, 0.7372549019607844, 0.5882352941176471)"
bre,"(0.7843137254901961, 0.6705882352941176, 0.21568627450980393)"
brk,"(0.5490196078431373, 0.3607843137254902, 0.21176470588235294)"
brk1,"(0.34509803921568627, 0.6196078431372549, 0.39215686274509803)"
bro,"(0.5647058823529412, 0.5647058823529412, 0.5647058823529412)"
brz1,"(0.4235294117647059, 0.7372549019607844, 0.5882352941176471)"
brz1+2,"(0.4235294117647059, 0.7372549019607844, 0.5882352941176471)"
brz1+2+3,"(0.4235294117647059, 0.7372549019607844, 0.5882352941176471)"
brz1+2+3+4,"(0.4235294117647059, 0.7372549019607844, 0.5882352941176471)"
brz2,"(0.4235294117647059, 0.7372549019607844, 0.5882352941176471)"
brz2+3+4,"(0.4235294117647059, 0.7372549019607844, 0.5882352941176471)"
brz3,"(0.4235294117647059, 0.7372549019607844, 0.5882352941176471)"
brz3+4,"(0.4235294117647059, 0.7372549019607844, 0.5882352941176471)"
brz4,"(0.4235294117647059, 0.7372549019607844, 0.5882352941176471)"
brzundefined,"(0.4235294117647059, 0.7372549019607844, 0.5882352941176471)"
bst,"(0.7843137254901961, 0.7843137254901961, 0.7843137254901961)"
bx,"(1.0, 0.9215686274509803, 0.0)"
bxk1,"(0.8823529411764706, 0.7450980392156863, 0.0)"
bxk2,"(0.9215686274509803, 0.803921568627451, 0.0)"
bxlmk1,"(0.8823529411764706, 0.7450980392156863, 0.0)"
bxo,"(0.5647058823529412, 0.5647058823529412, 0.5647058823529412)"
bxscc,"(0.8431372549019608, 0.6862745098039216, 0.0)"
bxsck1,"(0.8431372549019608, 0.6862745098039216, 0.0)"
bxsczundefined,"(1.0, 0.9215686274509803, 0.0)"
bxz#,"(1.0, 0.9215686274509803, 0.0)"
bxz1,"(1.0, 0.9215686274509803, 0.0)"
bxz1+2,"(1.0, 0.9215686274509803, 0.0)"
bxz1+2+3,"(1.0, 0.9215686274509803, 0.0)"
bxz1+2+3+4,"(1.0, 0.9215686274509803, 0.0)"
bxz2,"(1.0, 0.9215686274509803, 0.0)"
bxz2+3+4,"(1.0, 0.9215686274509803, 0.0)"
bxz3,"(1.0, 0.9215686274509803, 0.0)"
bxz3+4,"(1.0, 0.9215686274509803, 0.0)"
bxz4,"(1.0, 0.9215686274509803, 0.0)"
bxzundefined,"(1.0, 0.9215686274509803, 0.0)"
c,"(0.4196078431372549, 0.7176470588235294, 0.6392156862745098)"
con,"(0.7843137254901961, 0.6705882352941176, 0.21568627450980393)"
det,"(0.615686274509804, 0.3058823529411765, 0.25098039215686274)"
dia,"(0.8, 0.4, 1.0)"
dn,"(0.9803921568627451, 0.9803921568627451, 0.8235294117647058)"
dnz1,"(0.9803921568627451, 0.9803921568627451, 0.8235294117647058)"
dnzundefined,"(0.9803921568627451, 0.9803921568627451, 0.8235294117647058)"
do,"(0.8470588235294118, 0.7490196078431373, 0.8470588235294118)"
doask1,"(0.6901960784313725, 0.5137254901960784, 0.4549019607843137)"
doiek1,"(0.7686274509803922, 0.6313725490196078, 0.6509803921568628)"
dok1,"(0.7294117647058823, 0.5725490196078431, 0.5529411764705883)"
doz1,"(0.8470588235294118, 0.7490196078431373, 0.8470588235294118)"
doz1+2,"(0.8470588235294118, 0.7490196078431373, 0.8470588235294118)"
doz1+2+3+4,"(0.8470588235294118, 0.7490196078431373, 0.8470588235294118)"
doz2,"(0.8470588235294118, 0.7490196078431373, 0.8470588235294118)"
doz2+3,"(0.8470588235294118, 0.7490196078431373, 0.8470588235294118)"
doz2+3+4,"(0.8470588235294118, 0.7490196078431373, 0.8470588235294118)"
doz3,"(0.8470588235294118, 0.7490196078431373, 0.8470588235294118)"
doz3+4,"(0.8470588235294118, 0.7490196078431373, 0.8470588235294118)"
doz4,"(0.8470588235294118, 0.7490196078431373, 0.8470588235294118)"
dr,"(1.0, 0.4980392156862745, 0.3137254901960784)"
drgik1,"(0.8823529411764706, 0.3215686274509804, 0.0196078431372549)"
drgik2,"(0.9215686274509803, 0.3803921568627451, 0.11764705882352941)"
drgio,"(0.5647058823529412, 0.5647058823529412, 0.5647058823529412)"
druik1,"(0.8431372549019608, 0.2627450980392157, 0.0)"
drz1,"(1.0, 0.4980392156862745, 0.3137254901960784)"
drz1+2,"(1.0, 0.4980392156862745, 0.3137254901960784)"
drz1+2+3,"(1.0, 0.4980392156862745, 0.3137254901960784)"
drz2,"(1.0, 0.4980392156862745, 0.3137254901960784)"
drz2+3,"(1.0, 0.4980392156862745, 0.3137254901960784)"
drz3,"(1.0, 0.4980392156862745, 0.3137254901960784)"
drzundefined,"(1.0, 0.4980392156862745, 0.3137254901960784)"
dt,"(0.611764705882353, 0.611764705882353, 0.611764705882353)"
dtc,"(0.611764705882353, 0.611764705882353, 0.611764705882353)"
dy,"(0.615686274509804, 0.3058823529411765, 0.25098039215686274)"
ee,"(0.7450980392156863, 1.0, 0.45098039215686275)"
eek1,"(0.6274509803921569, 0.8235294117647058, 0.1568627450980392)"
eek2,"(0.6666666666666666, 0.8823529411764706, 0.2549019607843137)"
eez1,"(0.7450980392156863, 1.0, 0.45098039215686275)"
eez1+2,"(0.7450980392156863, 1.0, 0.45098039215686275)"
eez1+2+3,"(0.7450980392156863, 1.0, 0.45098039215686275)"
eez2,"(0.7450980392156863, 1.0, 0.45098039215686275)"
eez2+3,"(0.7450980392156863, 1.0, 0.45098039215686275)"
eez3,"(0.7450980392156863, 1.0, 0.45098039215686275)"
g,"(0.8470588235294118, 0.6392156862745098, 0.12549019607843137)"
gcz,"(0.8, 1.0, 0.6)"
gm,"(0.0, 0.0, 0.0)"
goz,"(0.8, 1.0, 0.6)"
gu,"(0.9607843137254902, 0.8705882352941177, 0.7019607843137254)"
guq,"(0.9607843137254902, 0.8705882352941177, 0.7019607843137254)"
gy,"(0.615686274509804, 0.3058823529411765, 0.25098039215686274)"
hl,"(0.047058823529411764, 0.5058823529411764, 0.047058823529411764)"
hlc,"(0.047058823529411764, 0.5058823529411764, 0.047058823529411764)"
ho,"(0.8235294117647058, 0.4117647058823529, 0.11764705882352941)"
hoq,"(0.8235294117647058, 0.4117647058823529, 0.11764705882352941)"
ht,"(0.6980392156862745, 0.13333333333333333, 0.13333333333333333)"
htc,"(0.6980392156862745, 0.13333333333333333, 0.13333333333333333)"
hu,"(0.7843137254901961, 0.7843137254901961, 0.7843137254901961)"
ie,"(0.9254901960784314, 0.4745098039215686, 0.7568627450980392)"
iek1,"(0.807843137254902, 0.2980392156862745, 0.4627450980392157)"
iek2,"(0.8470588235294118, 0.3568627450980392, 0.5607843137254902)"
iez1,"(0.9254901960784314, 0.4745098039215686, 0.7568627450980392)"
iez1+2+3,"(0.9254901960784314, 0.4745098039215686, 0.7568627450980392)"
iez2,"(0.9254901960784314, 0.4745098039215686, 0.7568627450980392)"
iez2+3,"(0.9254901960784314, 0.4745098039215686, 0.7568627450980392)"
iez3,"(0.9254901960784314, 0.4745098039215686, 0.7568627450980392)"
k,"(0.0, 0.5725490196078431, 0.0)"
ka,"(0.5490196078431373, 0.7058823529411765, 1.0)"
kas,"(0.5490196078431373, 0.7058823529411765, 1.0)"
kei,"(0.8470588235294118, 0.6392156862745098, 0.12549019607843137)"
ki,"(0.7372549019607844, 0.5607843137254902, 0.5607843137254902)"
kik1,"(0.5411764705882353, 0.36470588235294116, 0.26666666666666666)"
kik2,"(0.5803921568627451, 0.403921568627451, 0.3254901960784314)"
kik3,"(0.6196078431372549, 0.44313725490196076, 0.3843137254901961)"
kik4,"(0.6588235294117647, 0.4823529411764706, 0.44313725490196076)"
kiz1,"(0.7372549019607844, 0.5607843137254902, 0.5607843137254902)"
kiz1+2,"(0.7372549019607844, 0.5607843137254902, 0.5607843137254902)"
kiz1+2+3,"(0.7372549019607844, 0.5607843137254902, 0.5607843137254902)"
kiz1+2+3+4+5,"(0.7372549019607844, 0.5607843137254902, 0.5607843137254902)"
kiz2,"(0.7372549019607844, 0.5607843137254902, 0.5607843137254902)"
kiz2+3,"(0.7372549019607844, 0.5607843137254902, 0.5607843137254902)"
kiz2+3+4+5,"(0.7372549019607844, 0.5607843137254902, 0.5607843137254902)"
kiz3,"(0.7372549019607844, 0.5607843137254902, 0.5607843137254902)"
kiz3+4,"(0.7372549019607844, 0.5607843137254902, 0.5607843137254902)"
kiz3+4+5,"(0.7372549019607844, 0.5607843137254902, 0.5607843137254902)"
kiz4,"(0.7372549019607844, 0.5607843137254902, 0.5607843137254902)"
kiz4+5,"(0.7372549019607844, 0.5607843137254902, 0.5607843137254902)"
kiz5,"(0.7372549019607844, 0.5607843137254902, 0.5607843137254902)"
kizundefined,"(0.7372549019607844, 0.5607843137254902, 0.5607843137254902)"
kls,"(0.611764705882353, 0.6196078431372549, 0.38823529411764707)"
kr,"(0.6901960784313725, 0.18823529411764706, 0.3764705882352941)"
krk1,"(0.43529411764705883, 0.0, 0.0)"
kro,"(0.5647058823529412, 0.5647058823529412, 0.5647058823529412)"
krtwk1,"(0.611764705882353, 0.07058823529411765, 0.1803921568627451)"
krwyk1,"(0.33725490196078434, 0.0, 0.0)"
krz1,"(0.6901960784313725, 0.18823529411764706, 0.3764705882352941)"
krz1+2,"(0.6901960784313725, 0.18823529411764706, 0.3764705882352941)"
krz1+2+3,"(0.6901960784313725, 0.18823529411764706, 0.3764705882352941)"
krz1+2+3+4,"(0.6901960784313725, 0.18823529411764706, 0.3764705882352941)"
krz1+2+3+4+5,"(0.6901960784313725, 0.18823529411764706, 0.3764705882352941)"
krz2,"(0.6901960784313725, 0.18823529411764706, 0.3764705882352941)"
krz2+3,"(0.6901960784313725, 0.18823529411764706, 0.3764705882352941)"
krz2+3+4+5,"(0.6901960784313725, 0.18823529411764706, 0.3764705882352941)"
krz3,"(0.6901960784313725, 0.18823529411764706, 0.3764705882352941)"
krz3+4,"(0.6901960784313725, 0.18823529411764706, 0.3764705882352941)"
krz3+4+5,"(0.6901960784313725, 0.18823529411764706, 0.3764705882352941)"
krz4,"(0.6901960784313725, 0.18823529411764706, 0.3764705882352941)"
krz4+5,"(0.6901960784313725, 0.18823529411764706, 0.3764705882352941)"
krz5,"(0.6901960784313725, 0.18823529411764706, 0.3764705882352941)"
krzuk1,"(0.5333333333333333, 0.0, 0.0)"
krzundefined,"(0.6901960784313725, 0.18823529411764706, 0.3764705882352941)"
kw,"(0.6745098039215687, 0.6627450980392157, 0.16862745098039217)"
kwa,"(0.7843137254901961, 0.6705882352941176, 0.21568627450980393)"
kws,"(0.5647058823529412, 0.5647058823529412, 0.5647058823529412)"
kwz1,"(0.6745098039215687, 0.6627450980392157, 0.16862745098039217)"
kwz1+2,"(0.6745098039215687, 0.6627450980392157, 0.16862745098039217)"
kzs,"(0.7843137254901961, 0.6705882352941176, 0.21568627450980393)"
l,"(0.7607843137254902, 0.8117647058823529, 0.3607843137254902)"
la,"(0.8156862745098039, 0.12549019607843137, 0.5647058823529412)"
lac,"(0.8156862745098039, 0.12549019607843137, 0.5647058823529412)"
lei,"(0.611764705882353, 0.6196078431372549, 0.38823529411764707)"
mer,"(0.5490196078431373, 0.7058823529411765, 1.0)"
mfe,"(0.9490196078431372, 0.5019607843137255, 0.050980392156862744)"
mka,"(0.8, 0.4, 1.0)"
ms,"(0.5294117647058824, 0.807843137254902, 0.9215686274509803)"
msc,"(0.45098039215686275, 0.6901960784313725, 0.7254901960784313)"
msk1,"(0.37254901960784315, 0.5725490196078431, 0.5294117647058824)"
msk2,"(0.4117647058823529, 0.6313725490196078, 0.6274509803921569)"
msz1,"(0.5294117647058824, 0.807843137254902, 0.9215686274509803)"
msz1+2,"(0.5294117647058824, 0.807843137254902, 0.9215686274509803)"
msz1+2+3,"(0.5294117647058824, 0.807843137254902, 0.9215686274509803)"
msz1+2+3+4,"(0.5294117647058824, 0.807843137254902, 0.9215686274509803)"
msz2,"(0.5294117647058824, 0.807843137254902, 0.9215686274509803)"
msz2+3,"(0.5294117647058824, 0.807843137254902, 0.9215686274509803)"
msz2+3+4,"(0.5294117647058824, 0.807843137254902, 0.9215686274509803)"
msz3,"(0.5294117647058824, 0.807843137254902, 0.9215686274509803)"
msz3+4,"(0.5294117647058824, 0.807843137254902, 0.9215686274509803)"
msz4,"(0.5294117647058824, 0.807843137254902, 0.9215686274509803)"
mszundefined,"(0.5294117647058824, 0.807843137254902, 0.9215686274509803)"
mt,"(1.0, 0.6274509803921569, 0.4)"
mtq,"(1.0, 0.6274509803921569, 0.4)"
nbe,"(0.0, 0.0, 0.0)"
nn,"(0.0, 0.0, 0.0)"
nnk#,"(0.0, 0.0, 0.0)"
nno,"(0.0, 0.0, 0.0)"
nnq,"(0.0, 0.0, 0.0)"
nnv#,"(0.0, 0.0, 0.0)"
nnz#,"(0.0, 0.0, 0.0)"
o,"(0.5647058823529412, 0.5647058823529412, 0.5647058823529412)"
oer,"(0.9490196078431372, 0.5019607843137255, 0.050980392156862744)"
oo,"(0.4627450980392157, 0.615686274509804, 0.15294117647058825)"
ooc,"(0.3843137254901961, 0.4980392156862745, 0.0)"
ook1,"(0.34509803921568627, 0.4392156862745098, 0.0)"
ooz1,"(0.4627450980392157, 0.615686274509804, 0.15294117647058825)"
ooz1+2,"(0.4627450980392157, 0.615686274509804, 0.15294117647058825)"
ooz1+2+3,"(0.4627450980392157, 0.615686274509804, 0.15294117647058825)"
ooz2,"(0.4627450980392157, 0.615686274509804, 0.15294117647058825)"
ooz2+3,"(0.4627450980392157, 0.615686274509804, 0.15294117647058825)"
ooz3,"(0.4627450980392157, 0.615686274509804, 0.15294117647058825)"
oozundefined,"(0.4627450980392157, 0.615686274509804, 0.15294117647058825)"
p,"(0.611764705882353, 0.6196078431372549, 0.38823529411764707)"
pe,"(0.9333333333333333, 0.5098039215686274, 0.9333333333333333)"
pek1,"(0.8156862745098039, 0.3333333333333333, 0.6392156862745098)"
pek2,"(0.8549019607843137, 0.39215686274509803, 0.7372549019607844)"
peo,"(0.5647058823529412, 0.5647058823529412, 0.5647058823529412)"
pez1,"(0.9333333333333333, 0.5098039215686274, 0.9333333333333333)"
pez1+2,"(0.9333333333333333, 0.5098039215686274, 0.9333333333333333)"
pez1+2+3,"(0.9333333333333333, 0.5098039215686274, 0.9333333333333333)"
pez2,"(0.9333333333333333, 0.5098039215686274, 0.9333333333333333)"
pez2+3,"(0.9333333333333333, 0.5098039215686274, 0.9333333333333333)"
pez3,"(0.9333333333333333, 0.5098039215686274, 0.9333333333333333)"
pezundefined,"(0.9333333333333333, 0.5098039215686274, 0.9333333333333333)"
pu,"(0.7843137254901961, 0.7843137254901961, 0.7843137254901961)"
pz,"(1.0, 0.8, 0.0)"
pzwa,"(1.0, 0.8, 0.0)"
pzwaz1,"(1.0, 0.8, 0.0)"
pzwaz2,"(1.0, 0.8, 0.0)"
pzwaz3,"(1.0, 0.8, 0.0)"
pzwaz4,"(1.0, 0.8, 0.0)"
pzc,"(0.9215686274509803, 0.8823529411764706, 0.0)"
pzk1,"(0.803921568627451, 0.7058823529411765, 0.0)"
pzo,"(0.5647058823529412, 0.5647058823529412, 0.5647058823529412)"
pzz1,"(1.0, 0.8, 0.0)"
pzz1+2,"(1.0, 0.8, 0.0)"
pzz1+2+3,"(1.0, 0.8, 0.0)"
pzz1+2+3+4,"(1.0, 0.8, 0.0)"
pzz1+2+3+4+5,"(1.0, 0.8, 0.0)"
pzz2,"(1.0, 0.8, 0.0)"
pzz2+3,"(1.0, 0.8, 0.0)"
pzz2+3+4,"(1.0, 0.8, 0.0)"
pzz2+3+4+5,"(1.0, 0.8, 0.0)"
pzz3,"(1.0, 0.8, 0.0)"
pzz3+4,"(1.0, 0.8, 0.0)"
pzz3+4+5,"(1.0, 0.8, 0.0)"
pzz4,"(1.0, 0.8, 0.0)"
pzz4+5,"(1.0, 0.8, 0.0)"
pzz5,"(1.0, 0.8, 0.0)"
pzzundefined,"(1.0, 0.8, 0.0)"
q,"(0.5490196078431373, 0.7058823529411765, 1.0)"
r,"(0.3803921568627451, 0.3803921568627451, 0.3803921568627451)"
ru,"(0.7215686274509804, 0.4823529411764706, 0.9333333333333333)"
rubok1,"(0.5647058823529412, 0.24705882352941178, 0.5411764705882353)"
ruk1,"(0.6039215686274509, 0.3058823529411765, 0.6392156862745098)"
ruk2,"(0.6431372549019608, 0.36470588235294116, 0.7372549019607844)"
ruz1,"(0.7215686274509804, 0.4823529411764706, 0.9333333333333333)"
ruz1+2,"(0.7215686274509804, 0.4823529411764706, 0.9333333333333333)"
ruz1+2+3,"(0.7215686274509804, 0.4823529411764706, 0.9333333333333333)"
ruz1+2+3+4,"(0.7215686274509804, 0.4823529411764706, 0.9333333333333333)"
ruz2,"(0.7215686274509804, 0.4823529411764706, 0.9333333333333333)"
ruz2+3+4,"(0.7215686274509804, 0.4823529411764706, 0.9333333333333333)"
ruz3,"(0.7215686274509804, 0.4823529411764706, 0.9333333333333333)"
ruz3+4,"(0.7215686274509804, 0.4823529411764706, 0.9333333333333333)"
ruz4,"(0.7215686274509804, 0.4823529411764706, 0.9333333333333333)"
s,"(0.7843137254901961, 0.6705882352941176, 0.21568627450980393)"
sha,"(0.611764705882353, 0.6196078431372549, 0.38823529411764707)"
she,"(0.37254901960784315, 0.37254901960784315, 1.0)"
sid,"(0.9490196078431372, 0.5019607843137255, 0.050980392156862744)"
sis,"(0.611764705882353, 0.6196078431372549, 0.38823529411764707)"
slu,"(0.5647058823529412, 0.5647058823529412, 0.5647058823529412)"
st,"(0.803921568627451, 0.3607843137254902, 0.3607843137254902)"
sti,"(0.5647058823529412, 0.5647058823529412, 0.5647058823529412)"
stk,"(0.22745098039215686, 0.1450980392156863, 0.08627450980392157)"
stk1,"(0.7254901960784313, 0.24313725490196078, 0.16470588235294117)"
stn,"(0.8470588235294118, 0.6392156862745098, 0.12549019607843137)"
stz1,"(0.803921568627451, 0.3607843137254902, 0.3607843137254902)"
stz1+2,"(0.803921568627451, 0.3607843137254902, 0.3607843137254902)"
stz2,"(0.803921568627451, 0.3607843137254902, 0.3607843137254902)"
sy,"(1.0, 0.8941176470588236, 0.7098039215686275)"
syk1,"(0.8431372549019608, 0.6588235294117647, 0.3176470588235294)"
syk2,"(0.8823529411764706, 0.7176470588235294, 0.41568627450980394)"
syk3,"(0.9215686274509803, 0.7764705882352941, 0.5137254901960784)"
syz1,"(1.0, 0.8941176470588236, 0.7098039215686275)"
syz1+2,"(1.0, 0.8941176470588236, 0.7098039215686275)"
syz1+2+3,"(1.0, 0.8941176470588236, 0.7098039215686275)"
syz1+2+3+4,"(1.0, 0.8941176470588236, 0.7098039215686275)"
syz2,"(1.0, 0.8941176470588236, 0.7098039215686275)"
syz2+3,"(1.0, 0.8941176470588236, 0.7098039215686275)"
syz2+3+4,"(1.0, 0.8941176470588236, 0.7098039215686275)"
syz3,"(1.0, 0.8941176470588236, 0.7098039215686275)"
syz3+4,"(1.0, 0.8941176470588236, 0.7098039215686275)"
syz4,"(1.0, 0.8941176470588236, 0.7098039215686275)"
to,"(0.35294117647058826, 0.6235294117647059, 0.8588235294117647)"
togok1,"(0.23529411764705882, 0.4470588235294118, 0.5647058823529412)"
toz1,"(0.35294117647058826, 0.6235294117647059, 0.8588235294117647)"
toz1+2,"(0.35294117647058826, 0.6235294117647059, 0.8588235294117647)"
toz1+2+3,"(0.35294117647058826, 0.6235294117647059, 0.8588235294117647)"
toz2,"(0.35294117647058826, 0.6235294117647059, 0.8588235294117647)"
toz2+3,"(0.35294117647058826, 0.6235294117647059, 0.8588235294117647)"
toz3,"(0.35294117647058826, 0.6235294117647059, 0.8588235294117647)"
tooz3,"(0.35294117647058826, 0.6235294117647059, 0.8588235294117647)"
tozewak1,"(0.27450980392156865, 0.5058823529411764, 0.6627450980392157)"
ur,"(0.7411764705882353, 0.7176470588235294, 0.4196078431372549)"
urk1,"(0.5843137254901961, 0.4823529411764706, 0.027450980392156862)"
urk2,"(0.6235294117647059, 0.5411764705882353, 0.12549019607843137)"
urk3,"(0.6627450980392157, 0.6, 0.2235294117647059)"
uro,"(0.5647058823529412, 0.5647058823529412, 0.5647058823529412)"
urz1,"(0.7411764705882353, 0.7176470588235294, 0.4196078431372549)"
urz1+2,"(0.7411764705882353, 0.7176470588235294, 0.4196078431372549)"
urz1+2+3,"(0.7411764705882353, 0.7176470588235294, 0.4196078431372549)"
urz1+2+3+4,"(0.7411764705882353, 0.7176470588235294, 0.4196078431372549)"
urz1+2+3+4+5,"(0.7411764705882353, 0.7176470588235294, 0.4196078431372549)"
urz2,"(0.7411764705882353, 0.7176470588235294, 0.4196078431372549)"
urz2+3,"(0.7411764705882353, 0.7176470588235294, 0.4196078431372549)"
urz2+3+4,"(0.7411764705882353, 0.7176470588235294, 0.4196078431372549)"
urz2+3+4+5,"(0.7411764705882353, 0.7176470588235294, 0.4196078431372549)"
urz3,"(0.7411764705882353, 0.7176470588235294, 0.4196078431372549)"
urz3+4,"(0.7411764705882353, 0.7176470588235294, 0.4196078431372549)"
urz3+4+5,"(0.7411764705882353, 0.7176470588235294, 0.4196078431372549)"
urz4,"(0.7411764705882353, 0.7176470588235294, 0.4196078431372549)"
urz4+5,"(0.7411764705882353, 0.7176470588235294, 0.4196078431372549)"
urz5,"(0.7411764705882353, 0.7176470588235294, 0.4196078431372549)"
v,"(0.615686274509804, 0.3058823529411765, 0.25098039215686274)"
va,"(0.08235294117647059, 0.6, 0.30980392156862746)"
vac,"(0.08235294117647059, 0.6, 0.30980392156862746)"
ve,"(0.4, 0.39215686274509803, 0.06274509803921569)"
vec,"(0.0, 0.6078431372549019, 0.0)"
vek#,"(0.0, 0.6078431372549019, 0.0)"
vek1,"(0.0, 0.6078431372549019, 0.0)"
vec,"(0.2823529411764706, 0.21568627450980393, 0.0)"
vevoc,"(0.3607843137254902, 0.3333333333333333, 0.0)"
vewik1,"(0.3215686274509804, 0.27450980392156865, 0.0)"
vezundefined,"(0.4, 0.39215686274509803, 0.06274509803921569)"
vg,"(0.3803921568627451, 0.3803921568627451, 0.3803921568627451)"
vi,"(0.6, 0.4, 0.0)"
vib1,"(0.4823529411764706, 0.2235294117647059, 0.0)"
vib2,"(0.5215686274509804, 0.2823529411764706, 0.0)"
vus,"(0.5490196078431373, 0.7058823529411765, 1.0)"
wa,"(1.0, 0.8, 0.0)"
wak1,"(0.8431372549019608, 0.4117647058823529, 0.0)"
wak2,"(0.8823529411764706, 0.47058823529411764, 0.0)"
wak3,"(0.9215686274509803, 0.5294117647058824, 0.0)"
waz1,"(1.0, 0.8, 0.0)"
waz1+2,"(1.0, 0.8, 0.0)"
waz1+2+3,"(1.0, 0.8, 0.0)"
waz1+2+3+4,"(1.0, 0.8, 0.0)"
waz1+2+3+4+5,"(1.0, 0.8, 0.0)"
waz2,"(1.0, 0.8, 0.0)"
waz2+3,"(1.0, 0.8, 0.0)"
waz2+3+4,"(1.0, 0.8, 0.0)"
waz2+3+4+5,"(1.0, 0.8, 0.0)"
waz3,"(1.0, 0.8, 0.0)"
waz4,"(1.0, 0.8, 0.0)"
waz4+5,"(1.0, 0.8, 0.0)"
waz5,"(1.0, 0.8, 0.0)"
wazundefined,"(1.0, 0.8, 0.0)"
wb,"(0.5372549019607843, 0.2627450980392157, 0.11764705882352941)"
wbv1,"(0.4588235294117647, 0.1450980392156863, 0.0)"
yz,"(0.7843137254901961, 0.7843137254901961, 0.7843137254901961)"
z,"(0.9529411764705882, 0.8823529411764706, 0.023529411764705882)"
zns,"(0.7843137254901961, 0.6705882352941176, 0.21568627450980393)"
